timestamp	stars_Algorithmic-Games.github.io	stars_Worm-Arena	stars_Kalaha-Replay	stars_Kalaha-Arena	stars_Participant-Template	stars_Arena-Template	stars_Interface-Template	stars_Community	stars_Replay-Template	stars_.github	stars_Worm-Replay	stars_Backend	stars_Arena-Manager	stars_total	incomplete_results	stars_P2P-Interface	stars_Kalaha-Replay-old	stars_Surveys	stars_Worm-Replay-old	stars_Arena-Worm	stars_Arena-Kalaha	stars_backend	stars_Algorithmic-Games.io	stars_AlgorithmicGames.github.io
2022-08-21T05:03:19.593Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-08-22T00:38:25.066Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-08-23T00:43:45.735Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-08-24T00:39:49.687Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-08-25T00:42:21.343Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-08-26T00:38:55.709Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-08-27T00:33:43.482Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-08-28T00:39:56.312Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-08-29T00:40:49.010Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-08-30T00:44:36.969Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-08-31T00:46:55.574Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-01T00:35:19.425Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-02T00:39:02.847Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-03T00:34:26.630Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-04T00:40:05.428Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-05T00:43:42.674Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-06T00:41:35.008Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-07T00:40:23.152Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-08T00:39:01.854Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-09T00:40:57.977Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-10T00:41:08.664Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-11T00:38:59.865Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-12T00:37:58.293Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-13T00:40:55.637Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-14T00:38:57.186Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-15T00:43:16.351Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-16T00:41:56.881Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
2022-09-17T00:37:03.536Z	2	1	1	1	0	0	0	0	0	0	0	0	0	5										
